Accession ID,Subpopulation,fruitWeight (g),fruitLength (mm),fruitWidth (mm),fruitThickness (mm),stoneWeight (g),stoneLength (mm),stoneWidth (mm),stoneThickness (mm),seedWeight (g),seedLength (mm),seedWidth (mm),seedThickness (mm),brix,Pulp
turpentine,SP2 ,143.9025,92.0866666666666,62.6,55.1,26.2333333333333,62.7916666666666,38.5333333333333,20.6083333333333,16.9416666666666,35.675,28.4166666666666,17.4833333333333,5.485482846251596,20.0666666666666
graham,SP1 ,500.97,107.166666666666,102.0,85.4166666666666,17.3966666666666,,38.9541666666666,18.6333333333333,6.6325,36.235,18.7241666666666,12.8325,28.79689595708001,16.2083333333333
rumani,SP2 ,236.141666666666,63.3799999999999,83.0058333333333,70.38,20.6416666666666,52.3091666666666,42.1941666666666,17.3208333333333,12.32,36.6891666666666,25.0558333333333,11.7608333333333,11.440048445700448,21.2249999999999
sel.num3,SP2 ,153.836666666666,77.7091666666666,57.76,53.8141666666666,13.4358333333333,49.7233333333333,27.6866666666666,15.515,8.49,37.635,18.0216666666666,17.3591666666666,11.44973019909444,19.875
itamaraca,SP2 ,135.71875,61.88125,64.4854166666666,56.32,15.8345833333333,39.615,38.0904166666666,17.9995833333333,9.80083333333333,38.2483333333333,25.4599999999999,14.97375,8.57103386574746,16.1791666666666
royalspecial,SP2 ,240.704722222222,75.1311111111111,72.3211111111111,63.6777777777777,28.5561111111111,52.8338888888888,38.6038888888888,20.0591666666666,14.24,39.8552777777777,25.5880555555555,14.6472222222222,8.429184257115615,12.7833333333333
s-19,SP2 ,154.407647058823,77.6035294117647,59.6470588235294,55.4423529411764,40.4305882352941,52.5505882352941,32.568,16.4470588235294,12.8133333333333,40.4333333333333,23.6363636363636,15.02,3.819079904556818,20.4588235294117
toledo,SP2 ,80.71,61.995,48.4057894736842,43.0952631578947,14.2107894736842,47.5502631578947,26.8702631578947,16.4086842105263,9.62684210526315,42.1380555555555,28.0180555555555,15.7627777777777,5.679487416899691,20.8342105263157
tahar,SP2 ,355.286756756756,100.605945945945,80.7145945945946,72.3159459459459,24.5545945945945,75.5186486486486,40.4451351351351,16.6391666666666,13.0737837837837,42.8064864864864,27.9481081081081,12.4945945945945,14.46925769383175,14.7313513513513
torbet,SP2 ,330.723333333333,77.3483333333333,88.93,76.545,22.6383333333333,53.4216666666666,34.8683333333333,20.74,15.2016666666666,43.69,29.0016666666666,23.52,14.608996539792397,17.1333333333333
tetenene,SP2 ,415.83625,99.5420833333333,84.9833333333333,77.4554166666666,30.7895833333333,78.175,38.9495833333333,27.1404166666666,14.2541666666666,43.9054166666666,27.0791666666666,13.9979166666666,13.50574463766156,16.5716666666666
zillj-12,SP2 ,325.013333333333,103.2675,84.5695833333333,70.2925,25.77125,82.2608333333333,46.1570833333333,18.4058333333333,12.5458333333333,44.2941666666666,31.17375,13.8320833333333,12.611469499280515,21.0541666666666
irwin,SP2,393.400625,107.62875,85.191875,74.1421875,21.621875,79.494375,36.4784375,15.5140625,11.45375,44.9125,23.196875,12.7471875,18.194565688683337,13.396875
ahping,SP2 ,416.841111111111,117.871666666666,86.2811111111111,71.9938888888888,20.8876470588235,87.7205555555555,42.0466666666666,15.4705555555555,10.1166666666666,45.0188888888888,31.4922222222222,10.7694444444444,19.956345965498596,12.7166666666666
chino,SP2 ,495.608823529411,104.102352941176,93.2588235294117,88.5988235294117,34.5982352941176,72.2023529411764,45.4935294117647,22.9011764705882,25.0058823529411,45.4005882352941,33.3611764705882,17.3470588235294,14.32468504003944,20.2470588235294
janardhanpasand,SP1 ,205.116666666666,78.9675,76.24,63.2633333333333,25.0,61.5674999999999,37.0199999999999,21.1554545454545,13.3333333333333,45.6575,26.4633333333333,14.8475,8.20466666666664,20.4833333333333
winters,SP2 ,244.700833333333,89.62,72.4766666666666,66.2116666666666,19.2883333333333,70.3183333333333,34.4125,18.325,12.9081818181818,45.8081818181818,29.1536363636363,15.1354545454545,12.686468504277205,18.7
iris,SP2 ,328.541666666666,119.980833333333,68.82,65.1266666666666,16.5833333333333,105.380833333333,33.4683333333333,14.2366666666666,7.875,46.4866666666666,26.02,11.3083333333333,19.81155778894472,12.4583333333333
purple,SP1 ,91.575,66.9308333333333,54.2233333333333,45.765,17.1425,55.3383333333333,28.9308333333333,18.0525,10.295,46.4875,24.6525,14.685,5.341986291381071,17.4166666666666
namdocmai,SP1,368.516666666666,139.375833333333,74.7133333333333,62.4375,18.1666666666666,118.52,41.725,12.2858333333333,8.20833333333333,46.6816666666666,24.1241666666666,10.1541666666666,20.28532110091747,20.1166666666666
