Accession,PC1,PC2
s-01,40.583105031286,-190.97555921678742
tommyatkins,353.2113400409744,-11.369781870738548
siamese,-70.51722491236278,-82.15031367697075
aroemanis,-94.54606991971829,-30.34567479035772
sensation,166.71158435156661,-186.5948504389117
whitealfonso,-219.24946804405977,-64.69172103118453
zill,92.69006877323842,93.68071605783439
vanraj,97.16428582630999,264.98955395698675
edgehill,257.0715121688385,-173.19448751737775
cac,-29.5347918375678,68.78075521786874
cowasjeepatelxpiri,-25.198821598753568,91.83155664032576
diplomatico,187.93901020942525,11.9263775058656
earlygold,-11.321211707620208,-172.58252564423066
perelouis,28.085654684506693,239.47646576010382
17502,96.85932876710427,-209.04705339256154
tylerpremier,-98.6603790957575,21.590384209372647
borsha,-154.46408440267226,-52.05932890825863
zm-10,-24.80679438724784,-138.9330765388356
glenn,-17.31837301044359,-207.3317744204617
s-19,63.85767995652078,-165.41697317448651
madras,-216.1507402082426,-93.46191000117192
kensington,-59.320282064814656,116.60490051369685
irwin,166.01884078235403,-193.31376965840104
provost,151.26720045721942,51.04798895317118
angie,-27.577860094803075,31.711421749133354
amini,-149.01144300809955,-9.343909866508312
eldon,67.90838399269194,-30.59329147169908
parisselectionno.1,70.998405493209,-80.57917704606291
ameeri,-145.3963120311095,-32.340906419106396
unknown,-30.646927678608183,-131.85096004913393
janardhanpasand,-152.25684018129317,-50.923529173465774
suwontip,-306.6840929249088,-34.14213813941796
panchadarakalasa,-101.43887775233476,35.69251375190858
z-0,-293.79501224019515,-37.47850393947147
ewais,-281.3847211987384,-42.48561968981509
tutehau,217.32674055594362,195.80951891085996
sabre,20.744001045513507,268.7200877349936
madoe,-173.42418646794687,10.562117257297274
springfels,212.88113318749345,-76.61296971627885
pamkaimia,-303.21881338858606,-37.700798892780114
pickering,169.0157839781023,111.80086188008599
beverly,204.43960472710023,-78.16724571218434
turpentine,3.584679384005243,214.12066055202422
golek,-166.74062473690933,1.6525622608425612
peach,100.03695768311519,297.7501485652025
brooks,121.1089131986373,60.07527033296114
sandersha,164.44960087836972,220.93466350661947
sdlgofmia-06895,-45.52178714325942,-180.56225217350973
langra,-188.15033098214036,-91.04369431405787
mamou,-303.21390162242926,-46.99296671244861
zillj-12,9.54165107316892,200.8576339333114
chino,78.01388736503058,251.77609149252496
s-10,15.991685579098995,-134.27912654812926
rootstockofbrooksmia-17728,-94.52326019915458,-30.650506631569225
himsagar,-215.85873880730276,-94.16042947708544
rumani,29.10789729588574,231.59291445410182
hw14,-44.307949412277544,262.45908950241136
kalaalphonsesdlg,44.97480670001956,217.72304522125793
carabao,-342.458069052503,-31.96304097105124
malda,-213.51508784623803,-96.01690138870131
keitt,118.26144265989466,-221.21241699104593
sigsiput,69.29455662949803,248.23096873084808
zill0-29,193.70942512329864,-48.24526183223575
thaieverbearing,-279.930427619618,-53.77647127454256
ahping,188.49205780345028,-14.361076996578587
sunset,187.4837464594346,-149.87009257494148
ruby,276.3463162054132,-101.81929554729635
purple,-190.06153971385044,66.70076384279938
florigon,22.750890696144403,-139.1483086682478
paheri,-244.20358821692474,-71.11244411184325
ono,-79.06349055464396,98.81574224414712
lily,166.81167156154964,-51.24206090984577
peddarasam,-119.74682332407109,4.1188606351078025
becky,263.16255569296743,-90.73808123974256
fernandez,-197.43959213753325,-59.68445775264874
chokanon(kuching),-287.97611385518263,-33.12740915435231
manilita,-127.20610157090107,94.7934002321206
long,109.84385837547548,295.5975557699976
okrong,-328.5702476433215,-68.29441444197622
toledo,49.974559378808905,166.48020794274876
iris,214.2219693260645,-37.639373985221106
diab,-236.09263969816502,-18.673536535394362
shindiri,-205.84715934266467,-92.48205460861483
catsaigon,-119.39904575452248,-104.07306605543506
winters,50.19835104245012,-119.35086174190556
torbet,53.70671571587493,304.83360259990815
cogshall,-16.43748047730123,-175.79911895084635
naomi,163.45131940294274,-180.90292203805487
gaylour,-81.76105016147041,2.284308646754718
imampasand,-235.82975519246244,-18.76228461627656
namtamteem,-330.9258634056148,-33.66910148236371
bd3-80,101.97059969819448,-164.73687289375422
bombay,-244.3774169882934,-71.26353929350792
fukuda,236.96365697488088,12.502713759530804
vallenato,199.52249043006,78.80165847202076
heidi,56.49991654047048,-130.275442577056
piva,10.3835771465247,178.7134805250446
borshakampong,-244.27732533271262,-71.46898682444959
bullocksheart,-175.70397649492497,-8.30168606101458
joellen,-89.99883981113517,-95.61791992066388
burma,-62.883623430171006,184.51158215529875
graham,-12.225577247004061,257.2808880824733
bd1-5,151.92338672921127,-55.746837212614004
hongsa,-314.69239002576234,-31.357335253791426
malindi,53.96231134105736,304.6075062224233
magshimim,77.10113637483258,-177.35030136494174
royalspecial,30.58729289274916,157.04862424910436
jewel,223.63274112279402,-73.18367436184683
maya,131.75459160404637,-42.52523305663317
hatcher,260.79094566441074,-155.17336562387837
carrie,23.04712401761248,286.053335536435
valenciapride,310.2446026240051,-48.30535357493557
tahar,167.7436939677087,-141.10565360360542
ivory,-315.7642844357553,-33.470935322154965
zeylanica,-44.802964242955724,105.18557288588565
ott,85.26850437817231,-167.91493427528403
mamita,6.195387151073994,149.55613282895015
colombokidney,0.13867706321005024,-135.7565063858429
bd-34-89,181.81943169862825,-64.72419128850588
duncan,-213.27874330995934,-75.42238808471765
